iter	MultiClass
0	1.021859014
1	0.9636408591
2	0.9130222327
3	0.8711436505
4	0.8375267005
5	0.8101052469
6	0.7850646901
7	0.7650756022
8	0.7478793342
9	0.7314936931
10	0.7210048471
11	0.7083150932
12	0.6982949742
13	0.6882226499
14	0.6800325591
15	0.672106821
16	0.6635560766
17	0.6570438945
18	0.6507514717
19	0.6455443066
20	0.6405380982
21	0.6350361792
22	0.6312620435
23	0.6270438152
24	0.6230663053
25	0.6174605823
26	0.614076775
27	0.6114038702
28	0.608441071
29	0.604720446
30	0.6014839599
31	0.5992044001
32	0.5965270825
33	0.5936301666
34	0.5911671403
35	0.5874549684
36	0.5848399974
37	0.5818512742
38	0.5797627451
39	0.5780594686
40	0.5761556963
41	0.5737743696
42	0.5712852855
43	0.5698172122
44	0.5677885591
45	0.5656935786
46	0.5636013533
47	0.5617293418
48	0.560269122
49	0.5585043786
50	0.5569491989
51	0.5542979094
52	0.5525091178
53	0.5507915526
54	0.5492519643
55	0.5475487092
56	0.5460661956
57	0.5445693371
58	0.5434260085
59	0.5412450886
60	0.5395230437
61	0.5381771636
62	0.5372878612
63	0.5353397742
64	0.5330890803
65	0.5318073485
66	0.5305095863
67	0.5295351859
68	0.528646342
69	0.5276227286
70	0.5265874911
71	0.5255797023
72	0.5245624155
73	0.5236204287
74	0.5226936573
75	0.5206741635
76	0.5195316318
77	0.5180771571
78	0.517147171
79	0.5162415548
80	0.5154490553
81	0.5140010474
82	0.5134513257
83	0.5123328696
84	0.5114088087
85	0.5102116199
86	0.5093388571
87	0.5082060064
88	0.50716668
89	0.5060127004
90	0.505323501
91	0.5043963856
92	0.5030992447
93	0.502057765
94	0.5009302024
95	0.4999129393
96	0.4993426016
97	0.4984390337
98	0.4976797648
99	0.4967186736
