iter	Passed	Remaining
0	846	83793
1	1288	63149
2	1876	60680
3	2962	71092
4	3881	73752
5	4563	71498
6	5116	67982
7	5743	66053
8	6306	63768
9	6842	61584
10	7294	59022
11	7771	56987
12	8248	55204
13	8775	53907
14	9427	53422
15	10545	55365
16	11534	56315
17	12398	56483
18	13364	56973
19	14520	58082
20	15405	57953
21	16325	57882
22	17215	57633
23	18070	57223
24	19439	58318
25	20719	58970
26	21817	58987
27	22504	57868
28	22966	56228
29	23478	54784
30	23959	53328
31	24761	52618
32	25782	52346
33	27455	53296
34	28932	53731
35	29547	52528
36	30030	51133
37	30681	50059
38	31272	48912
39	31866	47799
40	32358	46565
41	32834	45343
42	33236	44057
43	33598	42761
44	33989	41542
45	34383	40362
46	34786	39226
47	35163	38093
48	35599	37052
49	35979	35979
50	36394	34967
51	36858	34023
52	37499	33254
53	38150	32498
54	38708	31670
55	39230	30824
56	39677	29931
57	40132	29061
58	40596	28210
59	41131	27421
60	41668	26640
61	42137	25826
62	42592	25014
63	43046	24213
64	43573	23462
65	44063	22699
66	44526	21930
67	45075	21212
68	45697	20530
69	46246	19819
70	46867	19143
71	47389	18429
72	47860	17701
73	48297	16969
74	48697	16232
75	49149	15520
76	49548	14800
77	49946	14087
78	50344	13382
79	50714	12678
80	51100	11986
81	51950	11403
82	52703	10794
83	53141	10122
84	53632	9464
85	54802	8921
86	55842	8344
87	56825	7748
88	57473	7103
89	58058	6450
90	58884	5823
91	60095	5225
92	60990	4590
93	61531	3927
94	62042	3265
95	62613	2608
96	63047	1949
97	63532	1296
98	64220	648
99	64868	0
